,Exchange,name,code,multiplier,minimum change,updown limit,Exchange margin,company margin
0,大连商品交易所,黄大豆1号,A,10,1元/吨,8%,0.1,0.16
1,大连商品交易所,黄大豆2号,B,10,1元/吨,8%,0.09,0.15
2,大连商品交易所,豆粕,M,10,1元/吨,7%,0.08,0.15
3,大连商品交易所,豆油,Y,10,2元/吨,7%,0.08,0.15
4,大连商品交易所,棕榈油,P,10,2元/吨,8%,0.09,0.16
5,大连商品交易所,玉米,C,10,1元/吨,6%,0.08,0.14
6,大连商品交易所,玉米淀粉,CS,10,1元/吨,6%,0.07,0.13
7,大连商品交易所,聚乙烯,L,5,5元/吨,9%,0.11,0.17
8,大连商品交易所,聚氯乙烯,V,5,5元/吨,8%,0.09,0.16
9,大连商品交易所,聚丙烯,PP,5,1元/吨,7%,0.08,0.15
10,大连商品交易所,鸡蛋,JD,5,1元/500千克,6%,0.07,0.14
11,大连商品交易所,焦煤,JM,60,0.5元/吨,8%,0.09,0.17
12,大连商品交易所,焦炭,J,100,0.5元/吨,8%,0.09,0.17
13,大连商品交易所,铁矿石,I,100,0.5元/吨,10%,0.11,0.18
14,大连商品交易所,纤维板,FB,10,0.5元/立方米,5%,0.1,0.15
15,大连商品交易所,胶合板,BB,500,0.05元/张,5%,0.4,0.42
16,大连商品交易所,豆粕期权,M-C/P,10,0.5元/吨,同豆粕期货,同豆粕期货,同豆粕期货
17,大连商品交易所,乙二醇,EG,10,1元/吨,9%,0.11,0.17
18,大连商品交易所,玉米期权,C-C/P,10,0.5元/吨,同玉米期货,同玉米期货,同玉米期货
19,大连商品交易所,粳米,RR,10,1元/吨,5%,0.06,0.12
20,大连商品交易所,苯乙烯,EB,5,1元/吨,11%,0.12,0.18
21,大连商品交易所,铁矿石期权,I-C/P,100,0.1元/吨,同铁矿石期货,同铁矿石期货,同铁矿石期货
22,大连商品交易所,液化石油气,PG,20,1元/吨,10%,0.11,0.18
23,大连商品交易所,液化石油气期权,PG-C/P,20,0.2元/吨,同液化石油气期货,同液化石油气期货,同液化石油气期货
24,大连商品交易所,聚乙烯期权,L-C/P,5,0.5元/吨,同聚乙烯期货,同聚乙烯期货,同聚乙烯期货
25,大连商品交易所,聚氯乙烯期权,V-C/P,5,0.5元/吨,同聚氯乙烯期货,同聚氯乙烯期货,同聚氯乙烯期货
26,大连商品交易所,聚丙烯期权,P-C/P,5,0.5元/吨,同聚丙烯期货,同聚丙烯期货,同聚丙烯期货
27,郑州商品交易所,棉花,CF,5,5元/吨,6%,0.07,0.14
28,郑州商品交易所,精对苯二甲酸,TA,5,2元/吨,5%,0.06,0.13
29,郑州商品交易所,锰硅,SM,5,2元/吨,6%,0.07,0.14
30,郑州商品交易所,硅铁,SF,5,2元/吨,6%,0.07,0.14
31,郑州商品交易所,白糖,SR,10,1元/吨,6%,0.07,0.14
32,郑州商品交易所,菜籽,RS,10,1元/吨,10%,0.2,0.24
33,郑州商品交易所,菜籽油,OI,10,1元/吨,5%,0.06,0.12
34,郑州商品交易所,菜粕,RM,10,1元/吨,5%,0.06,0.13
35,郑州商品交易所,甲醇,MA,10,1元/吨,6%,0.07,0.15
36,郑州商品交易所,早籼稻,RI,20,1元/吨,5%,0.06,0.11
37,郑州商品交易所,晚籼稻,LR,20,1元/吨,5%,0.06,0.11
38,郑州商品交易所,粳稻,JR,20,1元/吨,5%,0.06,0.11
39,郑州商品交易所,玻璃,FG,20,1元/吨,5%,0.06,0.12
40,郑州商品交易所,强麦,WH,20,1元/吨,5%,0.07,0.12
41,郑州商品交易所,普麦,PM,50,1元/吨,5%,0.06,0.11
42,郑州商品交易所,动力煤,ZC,100,0.2元/吨,4%,0.05,0.11
43,郑州商品交易所,棉纱,CY,5,5元/吨,6%,0.07,0.14
44,郑州商品交易所,白糖期权,SR-C/P,10,0.5元/吨,同白糖期货,同白糖期货,同白糖期货
45,郑州商品交易所,苹果,AP,10,1元/吨,6%,0.08,0.15
46,郑州商品交易所,棉花期权,CF-C/P,5,1元/吨,同棉期期货,同棉花期货,同棉花期货
47,郑州商品交易所,红枣,CJ,5,5元/吨,5%,0.07,0.12
48,郑州商品交易所,尿素,UR,20,1元/吨,4%,0.05,0.1
49,郑州商品交易所,纯碱,SA,20,1元/吨,5%,0.06,0.12
50,郑州商品交易所,短纤,PF,5,2元/吨,6%,0.07,0.13
51,郑州商品交易所,精对苯二甲酸期权,TA-C/P,5,0.5元/吨,同精对苯二甲酸期货,同精对苯二甲酸期货,同精对苯二甲酸期货
52,郑州商品交易所,甲醇期权,MA-C/P,10,0.5元/吨,同甲醇期货,同甲醇期货,同甲醇期货
53,郑州商品交易所,菜粕期权,RM-C/P,10,0.5元/吨,同菜粕期货,同菜粕期货,同菜粕期货
54,郑州商品交易所,动力煤期权,ZC-C/P,100,0.1元/吨,同动力煤期货,同动力煤期货,同动力煤期货
55,上海期货交易所,铜,CU,5,10元/吨,6%,0.08,0.15
56,上海期货交易所,铝,AL,5,5元/吨,6%,0.08,0.14
57,上海期货交易所,锌,ZN,5,5元/吨,6%,0.08,0.15
58,上海期货交易所,铅,PB,5,5元/吨,6%,0.08,0.14
59,上海期货交易所,镍,NI,1,10元/吨,6%,0.08,0.15
60,上海期货交易所,锡,SN,1,10元/吨,6%,0.08,0.15
61,上海期货交易所,天胶,RU,10,5元/吨,8%,0.1,0.17
62,上海期货交易所,螺纹钢,RB,10,1元/吨,5%,0.07,0.13
63,上海期货交易所,线材,WR,10,1元/吨,5%,0.07,0.13
64,上海期货交易所,沥青,BU,10,2元/吨,8%,0.1,0.18
65,上海期货交易所,热轧卷板,HC,10,1元/吨,5%,0.07,0.13
66,上海期货交易所,燃料油,FU,10,1元/吨,8%,0.1,0.17
67,上海期货交易所,黄金,AU,1000,0.02元/克,6%,0.08,0.15
68,上海期货交易所,白银,AG,15,1元/千克,10%,0.12,0.19
69,上海期货交易所,铜期权,CU-C/P,5,2元/吨,同铜期货,同铜期货,同铜期货
70,上海期货交易所,纸浆,SP,10,2元/吨,5%,0.07,0.13
71,上海期货交易所,橡胶期权,RU-C/P,10,1元/吨,同橡胶期货,同橡胶期货,同橡胶期货
72,上海期货交易所,不锈钢,SS,5,5元/吨,5%,0.07,0.13
73,上海期货交易所,黄金期权,AU-C/P,1000,0.02元/克,同黄金期货,同黄金期货,同黄金期货
74,上海期货交易所,铝期权,AL-C/P,5,1元/吨,同铝期货,同铝期货,同铝期货
75,上海期货交易所,锌期权,ZN-C/P,5,1元/吨,同锌期货,同锌期货,同锌期货
76,金融期货交易,沪深300,IF,300,0.2点,10%,0.11,0.14
77,金融期货交易,上证50,IH,300,0.2点,10%,0.11,0.14
78,金融期货交易,中证500,IC,200,0.2点,10%,0.13,0.16
79,金融期货交易,5年期国债,TF,10000,0.005元,1.20%,0.01,0.02
80,金融期货交易,10年期国债,T,10000,0.005元,2.00%,0.02,0.03
81,金融期货交易,2年期国债,TS,20000,0.005元,0.50%,0.0,0.01
82,金融期货交易,沪深300股指期权,IO-C/P,100,0.2点,指数收盘价正负10%,0.11,0.15
83,上海国际能源交易中心,原油,SC,1000,0.1元/手,8%,0.1,0.18
84,上海国际能源交易中心,20号胶,NR,10,5元/吨,8%,0.1,0.17
85,上海国际能源交易中心,低硫燃料油,LU,10,1元/吨,8%,0.1,0.17
86,上海国际能源交易中心,阴极铜,BC,5,10元/吨,6%,0.08,0.15
